cikkszam;nev;ar_eur;listaar_eur;akcios;kedvezmeny_szazalek;keszleten;keszlet_szoveg;suly_gramm;gyarto;url;kep;utolso_modositas
285008489;Hardtopständer mit 4 feststellbaren Rollen aus Stahl - Weiß / Cover;89.08;125.88;True;29.2;True;készleten;8000;ECD Germany;https://www.ecdgermany.de/products/p291003179-hardtopstander-mit-4-feststellbaren-rollen-aus-stahl;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/HS1000S_Galerie_2_8f0074ed-c581-4ed8-b76f-eddc6d06585b.jpg?v=1787064103;2026-09-04T10:47:50+02:00
285008581;Hardtopständer mit 4 feststellbaren Rollen Schwarz aus Stahl und Hardtop Cover - Schwarz / Cover;89.08;118.77;True;25.0;True;készleten;8000;ECD Germany;https://www.ecdgermany.de/products/285008581-hardtopstander-mit-4-feststellbaren-rollen-schwarz-aus-stahl-und-hardtop-cover;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/HS1000S_Galerie_2_8f0074ed-c581-4ed8-b76f-eddc6d06585b.jpg?v=1787064103;2026-09-04T10:47:43+02:00
285010387;Hardtopständer mit 4 feststellbaren Rollen Silber aus Stahl und Hardtop Cover - Silber / Cover;89.08;125.88;True;29.2;True;készleten;8000;ECD Germany;https://www.ecdgermany.de/products/285010387-hardtopstander-mit-4-feststellbaren-rollen-silber-aus-stahl-und-hardtop-cover;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/HS1000SI_Galerie_4f9b7be4-cf43-4c3f-b10c-bcdb07267b9a.jpg?v=1787064105;2026-09-04T10:47:43+02:00
285011729;Ganzgarage für Kleinwagen 406x165x119 cm 4-Lagig wasserdicht aus Vliesstoff;28.08;36.49;True;23.0;False;elfogyott;1000;ECD Germany;https://www.ecdgermany.de/products/285011729-ganzgarage-fur-kleinwagen-406x165x119-cm-4-lagig-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GanzgarageGalerie_M.jpg?v=1787064105;2026-09-04T10:47:55+02:00
285011761;Ganzgarage Größe M 431x165x119 cm 4-Lagig wasserdicht aus Vliesstoff;28.72;38.29;True;25.0;False;elfogyott;2500;ECD Germany;https://www.ecdgermany.de/products/285011761-ganzgarage-grosse-m-431x165x119-cm-4-lagig-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GanzgarageGalerie_XXL-ep_b.jpg?v=1787064102;2026-09-04T10:47:55+02:00
285011762;Ganzgarage Größe L 482x178x119 cm 4-Lagig wasserdicht aus Vliesstoff;29.62;39.49;True;25.0;False;elfogyott;2400;ECD Germany;https://www.ecdgermany.de/products/285011762-ganzgarage-grosse-l-482x178x119-cm-4-lagig-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GanzgarageGalerie_XXL-ep_b_d825862a-d8c9-44ad-ab42-118e55cd7448.jpg?v=1787064104;2026-09-04T10:47:55+02:00
285011763;Ganzgarage Größe XXL 572x203x122 cm 4-Lagig wasserdicht aus Vliesstoff;33.23;44.31;True;25.0;False;elfogyott;4000;ECD Germany;https://www.ecdgermany.de/products/285011763-ganzgarage-grosse-xxl-572x203x122-cm-4-lagig-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GanzgarageGalerie_XXL-ep_b_d2e53c75-7278-4ac4-ba93-b0bcd6ee50ce.jpg?v=1787064104;2026-09-04T10:47:55+02:00
285012191;Ganzgarage für Kombis und Vans 533x178x119 cm 4-Lagig wasserdicht aus Vliesstoff;28.91;38.55;True;25.0;False;elfogyott;2600;ECD Germany;https://www.ecdgermany.de/products/285012191-ganzgarage-fur-kombis-und-vans-533x178x119-cm-4-lagig-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GanzgarageGalerie_XXL-ep_b_7612b422-b5f1-459a-a1eb-a42dec4c8544.jpg?v=1787064105;2026-09-04T10:47:55+02:00
285012521;Ganzgarage für Kleinwagen 265x147x119 cm wasserabweisend aus Polyester;23.79;31.73;True;25.0;False;elfogyott;700;ECD Germany;https://www.ecdgermany.de/products/285012521-ganzgarage-fur-kleinwagen-265x147x119-cm-wasserabweisend-aus-polyester;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG3_ganz_Galerie.jpg?v=1787064103;2026-09-04T10:48:05+02:00
285012523;Halbgarage Abdeckung Autogarage für Smart Fortwo 214x146x55 cm 100% Polyester wasserabweisend;20.99;27.99;True;25.0;False;elfogyott;500;ECD Germany;https://www.ecdgermany.de/products/285012523-halbgarage-abdeckung-autogarage-fur-smart-fortwo-214x146x55-cm-100-polyester-wasserabweisend;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG3_halb_Galerie.jpg?v=1787064104;2026-09-04T10:48:05+02:00
290000350;Flaschenzug 2000 kg 25 m aus Stahl mit Blockiersystem 360° drehbar inkl. Kette;47.99;63.99;True;25.0;False;elfogyott;12000;ECD Germany;https://www.ecdgermany.de/products/290000350-flaschenzug-2000-kg-25-m-aus-stahl-mit-blockiersystem-360-drehbar-inkl-kette;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/IP-010_Galerie_1.jpg?v=1786634306;2026-09-04T10:48:11+02:00
291000954;Mobiler Schweißwagen mit 3 Ablagefächern und Gasflaschenbehälter belastbar bis 45 kg;45.04;60.05;True;25.0;False;elfogyott;10000;ECD Germany;https://www.ecdgermany.de/products/291000954-mobiler-schweisswagen-mit-3-ablagefachern-und-gasflaschenbehalter-belastbar-bis-45-kg;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/IP-063_Galerie_2n_clear.jpg?v=1786634307;2026-09-04T10:48:03+02:00
291001414;Flaschenzug 1000 kg 2,5 m aus Stahl mit Blockiersystem 360° drehbar inkl. Kette;40.99;54.65;True;25.0;False;elfogyott;1899;ECD Germany;https://www.ecdgermany.de/products/291001414-flaschenzug-1000-kg-2-5-m-aus-stahl-mit-blockiersystem-360-drehbar-inkl-kette;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/IP-064_Galerie_1_clear.jpg?v=1786634307;2026-09-04T10:48:05+02:00
291001417;Flaschenzug mit Handhebel 1500 kg 15 m Gummierter Handgriff inkl. Kette;67.99;90.65;True;25.0;False;elfogyott;12000;ECD Germany;https://www.ecdgermany.de/products/291001417-flaschenzug-mit-handhebel-1500-kg-15-m-gummierter-handgriff-inkl-kette;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/IP-065_Galeriebild.jpg?v=1786634308;2026-09-04T10:48:11+02:00
291001423;Flaschenzug mit Handhebel 750 kg, 1,5 m, aus Stahl, Gummierter Handgriff, inkl. Kette;46.99;62.65;True;25.0;False;elfogyott;7500;ECD Germany;https://www.ecdgermany.de/products/291001423-flaschenzug-mit-handhebel-750-kg-1-5-m-aus-stahl-gummierter-handgriff-inkl-kette;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/IP-066_Galeriebild.jpg?v=1786634308;2026-09-04T10:48:11+02:00
291001790;Ganzgarage für Wohnwagen Größe S 426x225x220 cm wasserdicht aus Vliesstoff;94.99;126.65;True;25.0;False;elfogyott;6000;ECD Germany;https://www.ecdgermany.de/products/291001790-ganzgarage-fur-wohnwagen-grosse-s-426x225x220-cm-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG6_det_2.jpg?v=1786634309;2026-09-04T10:48:11+02:00
